variant_match_key,canonical_match_key
czech republic,czechia
czechia,czechia
cape verde,cabo verde
cabo verde,cabo verde
turkey,turkey
turkiye,turkey
usa,united states
u s,united states
u s a,united states
united states,united states
united states of america,united states
korea republic,south korea
republic of korea,south korea
south korea,south korea
bosnia herzegovina,bosnia and herzegovina
bosnia and herzegovina,bosnia and herzegovina
ir iran,iran
iran,iran
congo dr,dr congo
dr congo,dr congo
d r congo,dr congo
drc,dr congo
democratic republic of the congo,dr congo
democratic republic of congo,dr congo
the democratic republic of congo,dr congo
cote d ivoire,ivory coast
cote divoire,ivory coast
ivory coast,ivory coast
curacao,curacao
mex,mexico
rsa,south africa
kor,south korea
cze,czechia
can,canada
bih,bosnia and herzegovina
qat,qatar
sui,switzerland
bra,brazil
mar,morocco
hai,haiti
sco,scotland
par,paraguay
aus,australia
tur,turkey
ger,germany
cuw,curacao
civ,ivory coast
ecu,ecuador
ned,netherlands
jpn,japan
swe,sweden
tun,tunisia
bel,belgium
egy,egypt
irn,iran
nzl,new zealand
esp,spain
cpv,cabo verde
ksa,saudi arabia
uru,uruguay
fra,france
sen,senegal
irq,iraq
nor,norway
arg,argentina
alg,algeria
aut,austria
jor,jordan
por,portugal
cod,dr congo
uzb,uzbekistan
col,colombia
eng,england
cro,croatia
gha,ghana
pan,panama
italy,italy
peru,peru
